260074_at AT1G73640
246947_at AT5G25120
252932_at AT4G39080
265492_at AT2G15660
255119_at AT4G08880
261104_at AT1G62910
257311_at AT3G26570
245888_at AT5G09450
266522_at AT2G16920
251873_at AT3G54230
262386_at AT1G49370
247041_at AT5G67180
256252_at AT3G11340
254205_at AT4G24170
263416_at AT2G17170
259623_at AT1G42700
244974_at ATCG00700
253146_at AT4G35590
249353_at AT5G40420
258564_at AT3G06560
262502_at AT1G21600
265728_at AT2G31990
248294_at AT5G53060
246247_at AT4G36640
252232_at AT3G49760
255458_at AT4G02840
261443_at AT1G28480
264669_at AT1G09630
264881_s_at AT3G01760;AT1G61270
257650_at AT3G16800
266861_at AT2G26830
245188_at AT1G67660
251173_at AT3G63270
247380_at AT5G63380
256591_at AT3G31910
254544_at AT4G19820
248410_at AT5G51570
263755_at AT2G21340
259962_at AT1G53690
253485_at AT4G31800
245304_at AT4G15630
260649_at AT1G08080
256856_at AT3G15110
262841_at AT1G14810
265028_at AT1G24530
250379_at AT5G11590
246586_at AT5G14770
267220_at AT2G02500
252571_at AT3G45280
255797_at AT2G33630
261782_at AT1G76110
251409_at AT3G60245
247616_at AT5G60260
253601_at AT4G30900
266161_at AT2G28170
248898_at AT5G46370
254883_at AT4G11720
246702_at AT5G28050
263055_at AT2G04600
249928_at AT5G22250
